condition;lambda;gen_time;temp;food
inter_20;0.99789475869306;144.979074381162;20;inter
inter_20;1.00141744996584;168.104236723551;20;inter
inter_20;1.00920059098036;163.191414928238;20;inter
inter_20;1.00582383044037;146.266372143857;20;inter
inter_20;0.998436213798992;149.166038054173;20;inter
inter_20;0.998713142772977;151.569127845296;20;inter
inter_20;1.00874161451086;150.74266218864;20;inter
inter_20;1.00755757191928;156.9715507622;20;inter
inter_20;1.00095830398767;147.037422188039;20;inter
inter_20;1.0035873172816;150.768570116221;20;inter
inter_20;1.001884839916;149.208657247474;20;inter
inter_20;1.00409470560502;151.044614374314;20;inter
inter_20;0.995646010802599;146.20954397075;20;inter
inter_20;1.00014926574855;155.1313399596;20;inter
inter_20;1.00586880006201;151.874164614476;20;inter
inter_20;1.00422569553439;158.114090038116;20;inter
inter_20;1.00003520695653;150.136437393201;20;inter
inter_20;1.00404459756927;152.393123763268;20;inter
inter_20;1.00114042986026;151.521693055502;20;inter
inter_20;0.99846029784219;144.036902118423;20;inter
inter_20;1.00954314198291;156.673963281696;20;inter
inter_20;1.00672967641472;160.479118642834;20;inter
inter_20;0.998796151312151;149.286652547874;20;inter
inter_20;1.0059436028323;153.241052154582;20;inter
inter_20;1.00264080675569;150.775996448125;20;inter
inter_20;0.999925984118832;146.986715452878;20;inter
inter_20;1.00162650048565;155.326967126153;20;inter
inter_20;0.998559577477422;151.856598858325;20;inter
inter_20;1.00203010323138;148.128260598688;20;inter
inter_20;1.00740379190513;150.167038848711;20;inter
inter_20;1.00251229906286;156.445447005681;20;inter
inter_20;0.996047801995427;146.122402168081;20;inter
inter_20;1.00181188548447;148.609852107654;20;inter
inter_20;1.00320766406918;146.982294280288;20;inter
inter_20;1.00850990611819;144.544032695294;20;inter
inter_20;0.998710992270288;152.809240896604;20;inter
inter_20;0.997346643668644;162.183650808165;20;inter
inter_20;1.00633616453446;156.213177684836;20;inter
inter_20;0.999605075948586;145.105413991411;20;inter
inter_20;1.00814774251917;156.74912172517;20;inter
inter_20;1.00415769087324;157.050336729617;20;inter
inter_20;0.998937935377637;154.822873652824;20;inter
inter_20;1.00080969511932;148.660625535301;20;inter
inter_20;0.995340354888997;143.961526876135;20;inter
inter_20;1.00207073258613;150.869644443352;20;inter
inter_20;1.00548090231755;155.9618420987;20;inter
inter_20;0.998358585082922;147.503544158726;20;inter
inter_20;1.00017390650809;148.810629429461;20;inter
inter_20;0.998234797581931;145.941932253436;20;inter
inter_20;1.00212588018346;143.785537490682;20;inter
inter_20;0.996782432983706;148.190085884703;20;inter
inter_20;1.00419425196229;152.067068337436;20;inter
inter_20;1.00679062035797;151.281802433112;20;inter
inter_20;1.0031685447411;153.055434854464;20;inter
inter_20;1.01305797409067;162.068822067088;20;inter
inter_20;1.00607994218304;150.104679402192;20;inter
inter_20;1.00872586921381;148.336723590218;20;inter
inter_20;0.996589641210892;145.892235012191;20;inter
inter_20;1.00244931228077;148.502300035857;20;inter
inter_20;1.00351002649749;149.980982107666;20;inter
inter_20;1.00848799902789;159.058879742208;20;inter
inter_20;1.00961334945517;155.752588865993;20;inter
inter_20;0.99882862951376;147.536543223688;20;inter
inter_20;1.00251133153071;149.660972116789;20;inter
inter_20;1.00979939915162;153.191148152714;20;inter
inter_20;1.00051846725421;156.028917422436;20;inter
inter_20;1.00739476385619;156.116766988388;20;inter
inter_20;1.00689312266216;161.896246943796;20;inter
inter_20;1.00963961463128;151.478689585496;20;inter
inter_20;1.0061936819069;150.588559922244;20;inter
inter_20;1.00893535854916;162.947320889365;20;inter
inter_20;1.00725399641082;159.433150756997;20;inter
